Loan_SubType,Loan_Type,Requested_LoanAmount,Approved_LoanAmount,Funded_LoanAmount,Loan_Status,Borrower_Type,Applicant_State,Credit_Score,Type_ofVehicle,Value_ofAsset,LTV_Ratio,Loan_Class,Loan_Tier,Loan_Term,Monthly_Income,Monthly_debt,DTI_Ratio,Monthly_LoanPayment,Age_of_Employment_in_Months,Age_of_Employment_in_Years,Loan_SubType_Cat,Loan_Type_Cat,Loan_Status_Cat,Borrower_Type_Cat
Auto Refinance,Refinance,2872.0,2887.16,28867.66,APPROVED,P,TX,657.0,CAR,25925.0,0,3 YR USED,1.tov-Vehicle T3,66,9.0,3.0,32.87,534.48,67,5.58,0,5,0,0
New Vehicle Loan,Purchase-Other,62578.51,574.2,0.0,DECLINED,P,TX,683.0,CAR,49060.0,0,72 MO NEW,1.tov-Vehicle T3,72,6.0,1.0,17.676,0.0,228,19.0,2,4,1,0
New Vehicle Loan,Purchase-Other,5.0,51565.26,51565.26,APPROVED,P,TX,677.0,CAR,46410.0,0,72 MO NEW,1.tov-Vehicle T1,72,8.0,872.51,9.988,872.51,48,4.0,2,4,0,0
Auto Refinance,Refinance,3763.86,37666.36,0.0,DECLINED,P,TX,668.0,CAR,45525.0,0,1 YR USED/REFI 72 MO,1.tov-Vehicle T3,72,10.0,1.0,11.128,0.0,86,7.17,0,5,1,0
Auto Refinance,Refinance,28.0,27539.57,27539.57,APPROVED,P,TX,633.0,CAR,34685.0,0,1 YR USED/REFI 72 MO,1.tov-Vehicle T3,72,4.0,1.0,25.179,468.45,48,4.0,0,5,0,0
Auto Refinance,Refinance,38484.6,38564.56,38564.56,APPROVED,P,TX,669.0,CAR,34000.0,0,1 YR USED/REFI 72 MO,1.tov-Vehicle T3,72,6.0,2.0,32.48,659.63,157,13.08,0,5,0,0
Auto Refinance,Refinance,45.0,45167.3,45167.3,APPROVED,P,TX,697.0,CAR,44175.0,0,2 YR USED,1.tov-Vehicle T3,66,8.0,4.0,45.949,825.5,96,8.0,0,5,0,0
Auto Refinance,Refinance,45816.69,45849.69,0.0,APPROVED,P,TX,676.0,CAR,45050.0,0,1 YR USED/REFI 72 MO,1.tov-Vehicle T3,72,11.0,2.0,22.413,0.0,53,4.42,0,5,0,0
New Vehicle Loan,Dealer Purchase,32.0,27643.12,27643.12,APPROVED,P,TX,638.0,CAR,27025.0,0,2 YR USED,1.tov-Vehicle T3,66,2.0,813.22,34.429,505.68,12,1.0,2,1,0,0
New Vehicle Loan,Purchase-Other,9.0,45527.18,45527.18,DECLINED,P,AZ,699.0,CAR,34995.0,0,72 MO NEW,1.tov-Vehicle T3,72,8.0,1.0,19.275,774.84,84,7.0,2,4,1,0
Auto Refinance,Refinance,26491.1,26827.75,26827.75,APPROVED,P,TX,628.0,CAR,30225.0,0,1 YR USED/REFI 72 MO,1.tov-Vehicle T3,72,6.0,627.93,9.314,456.35,54,4.5,0,5,0,0
Auto Refinance,Refinance,3413.38,34283.71,34283.71,APPROVED,P,TX,812.0,CAR,31025.0,0,2 YR USED,1.tov-Vehicle T1,66,7.0,1.0,25.031,593.07,204,17.0,0,5,0,0
Auto Refinance,Refinance,15656.0,15955.17,15955.17,APPROVED,P,TX,749.0,CAR,16325.0,0,6-10 YR USED,1.tov-Vehicle T2,36,2.0,679.87,29.56,516.68,24,2.0,0,5,0,0
Auto Refinance,Refinance,66.0,6359.21,6344.11,APPROVED,P,TX,707.0,CAR,13450.0,0,6-10 YR USED,1.tov-Vehicle T2,36,2.0,1.0,40.601,205.3,14,1.17,0,5,0,0
Used Vehicle Loan,Dealer Purchase,12495.0,6.0,0.0,DECLINED,P,AZ,677.0,CAR,7375.0,0,TOKEN COLLATERAL,1.tov-Vehicle T3,30,6.0,1.0,27.938,0.0,156,13.0,5,1,1,0
Used Vehicle Loan,Dealer Purchase,8497.87,8497.87,8497.87,APPROVED,P,TX,665.0,CAR,9600.0,0,6-10 YR USED,1.tov-Vehicle T3,36,3.0,1.0,34.885,281.12,12,1.0,5,1,0,0
Auto Refinance,Refinance,2.0,23673.62,23673.62,APPROVED,P,TX,711.0,CAR,31575.0,0,2 YR USED,1.tov-Vehicle T2,66,2.0,1.0,48.618,415.88,62,5.17,0,5,0,0
