BranchID,Application_Date,Loan_SubType,Loan_Purpose,Loan_Type,Requested_LoanAmount,Approved_LoanAmount,Funded_LoanAmount,Loan_Status,Declined Date,Deciding Date,Approved Date,Funded Date,Borrower_Type,Applicant_State,Credit_Score,Type_ofVehicle,Value_ofAsset,LTV_Ratio,Loan_Class,Loan_Tier,Loan_Term,Monthly_Income,Monthly_debt,DTI_Ratio,Monthly_LoanPayment,Age_of_Employment_in_Months,Age_of_Employment_in_Years,Denial Reasons
604,6/2/2022,Other Secured Loan,VEHICLE,Refinance,3,328,328,APPROVED,,6/3/2022,6/3/2022,6/3/2022,P,TX,637,CAR,9075,0,TOKEN COLLATERAL,1.tov-Vehicle T3,30,5,1,34.484,120.24,293,24.42,
462,6/2/2022,Auto Refinance,VEHICLE,Refinance,2825.65,28233.65,,DECLINED,6/23/2022,6/23/2022,,,P,TX,702,CAR,29200,0,3 YR USED,1.tov-Vehicle T2,66,2,898.57,35.727,0,12,1,"Application Incomplete
"
831,6/2/2022,Auto Refinance,VEHICLE,Refinance,11532.95,11565.95,11565.95,APPROVED,,6/6/2022,6/6/2022,,P,TX,717,CAR,24275,0,6-10 YR USED,1.tov-Vehicle T2,36,7,519.96,6.638,373.96,337,28.08,
667,6/2/2022,Auto Refinance,VEHICLE,Refinance,19,18459.95,18459.95,APPROVED,6/2/2022,6/6/2022,6/6/2022,6/6/2022,P,TX,700,CAR,23225,0,3 YR USED,1.tov-Vehicle T2,66,3,1,47.714,328.39,204,17,Income insufficient for amount of credit requested
606,6/2/2022,Auto Refinance,VEHICLE,Refinance,3,263.78,263.78,APPROVED,,6/16/2022,6/16/2022,6/10/2022,P,TX,691,CAR,2450,0,TOKEN COLLATERAL,1.tov-Vehicle T3,18,5,1,27.654,162.88,156,13,
848,6/2/2022,Auto Refinance,VEHICLE,Refinance,9,8689.76,8689.76,APPROVED,,6/6/2022,6/6/2022,6/6/2022,P,TX,649,CAR,12275,0,6-10 YR USED,1.tov-Vehicle T3,36,1,645.62,40.163,287.45,12,1,
832,6/2/2022,Auto Refinance,VEHICLE,Refinance,35,51644.45,51644.45,APPROVED,,6/3/2022,6/3/2022,6/3/2022,C,TX,768,CAR,47004,0,4 YR USED,,54,6,2,46.151,1084.53,78,6.5,
832,6/2/2022,Auto Refinance,VEHICLE,Refinance,35,51644.45,51644.45,APPROVED,,6/3/2022,6/3/2022,6/3/2022,P,TX,769,CAR,47004,0,4 YR USED,1.tov-Vehicle T1,54,6,2,46.151,1084.53,111,9.25,
810,6/2/2022,Auto Refinance,VEHICLE,Refinance,1524.22,15273.22,15273.22,APPROVED,,6/7/2022,6/7/2022,6/7/2022,P,TX,694,CAR,21675,0,4 YR USED,1.tov-Vehicle T3,54,3,875.25,25.248,337.8,65,5.42,
103,6/2/2022,Used Vehicle Loan,VEHICLE,Dealer Purchase,26,24992.16,24992.16,APPROVED,6/13/2022,6/27/2022,6/27/2022,6/24/2022,P,KS,674,CAR,25900,0,6-10 YR USED,1.tov-Vehicle T3,36,6,2,33.677,825.15,114,9.5,"Application Incomplete
"
908,6/2/2022,Auto Refinance,VEHICLE,Refinance,18,1968.19,18998.83,APPROVED,,6/14/2022,6/14/2022,,P,AZ,685,CAR,24425,0,3 YR USED,1.tov-Vehicle T3,66,3,1,31.485,353.81,12,1,
103,6/3/2022,Auto Refinance,VEHICLE,Refinance,2872,2887.16,28867.66,APPROVED,,6/3/2022,6/3/2022,,P,TX,657,CAR,25925,0,3 YR USED,1.tov-Vehicle T3,66,9,3,32.87,534.48,67,5.58,
510,6/3/2022,New Vehicle Loan,VEHICLE,Purchase-Other,62578.51,574.2,,DECLINED,6/6/2022,6/6/2022,,,P,TX,683,CAR,49060,0,72 MO NEW,1.tov-Vehicle T3,72,6,1,17.676,0,228,19,Value or type of collateral not sufficient
469,6/3/2022,New Vehicle Loan,VEHICLE,Purchase-Other,5,51565.26,51565.26,APPROVED,,6/6/2022,6/6/2022,,C,TX,762,CAR,46410,0,72 MO NEW,,72,8,872.51,9.988,872.51,12,1,
